99.5732	0.3873	0.0158	0.0211	0.0011	0.0012	0.0001	0.0002
99.7732	0.4873	0.0258	0.0211	0.0021	0.0022	0.0001	0.0002
99.5832	0.5871	0.0138	0.0211	0.0001	0.0011	0.0002	0.0003
98.9732	0.6873	0.0158	0.0211	0.0010	0.0022	0.0001	0.0002
99.5632	0.3472	0.0159	0.0211	0.0011	0.0012	0.0001	0.0002
99.5762	0.7873	0.0148	0.0211	0.0021	0.0022	0.0003	0.0002
99.3734	0.9873	0.0188	0.0211	0.0001	0.0012	0.0001	0.0002
99.5932	0.4873	0.0138	0.0211	0.0001	0.0042	0.0001	0.0006
98.5762	0.3473	0.0148	0.0211	0.0014	0.0012	0.0001	0.0002
99.5739	0.6877	0.0158	0.0211	0.0011	0.0062	0.0001	0.0008
99.6732	0.3673	0.0258	0.0211	0.0011	0.0012	0.0001	0.0002
99.5732	0.8863	0.0158	0.0211	0.0021	0.0012	0.0001	0.0002
99.7732	0.3673	0.0158	0.0211	0.0011	0.0033	0.0001	0.0004
99.5738	0.9873	0.0458	0.0211	0.0022	0.0012	0.0002	0.0002
99.8732	0.3663	0.0158	0.0211	0.0011	0.0022	0.0001	0.0005
99.5732	0.1873	0.0658	0.0211	0.0015	0.0012	0.0001	0.0002
99.9734	0.2873	0.0158	0.0211	0.0011	0.0042	0.0003	0.0007
99.3732	0.3873	0.0858	0.0211	0.0020	0.0012	0.0001	0.0002
99.7732	0.5873	0.0158	0.0211	0.0019	0.0031	0.0001	0.0001
99.5732	0.3873	0.0158	0.0211	0.0011	0.0011	0.0001	0.0002
99.8888	0.4444	0.0158	0.0211	0.0016	0.0011	0.0001	0.0002
99.5732	0.3873	0.0158	0.0211	0.0011	0.0014	0.0001	0.0002
99.7685	0.2143	0.0258	0.0211	0.0018	0.0011	0.0003	0.0003
99.5882	0.3873	0.0158	0.0211	0.0011	0.0021	0.0001	0.0002
99.3332	0.6543	0.0358	0.0211	0.0019	0.0011	0.0001	0.0002
99.5732	0.3323	0.0158	0.0211	0.0011	0.0051	0.0002	0.0005
99.5747	0.2173	0.0458	0.0211	0.0021	0.0011	0.0001	0.0002
99.4332	0.3873	0.0158	0.0211	0.0011	0.0061	0.0007	0.0008
99.1132	0.1173	0.0158	0.0211	0.0017	0.0011	0.0001	0.0002
98.9732	0.2223	0.0458	0.0211	0.0011	0.0029	0.0001	0.0002
98.9732	0.2883	0.0148	0.0211	0.0011	0.0019	0.0001	0.0006
99.1132	0.6623	0.0178	0.0211	0.0021	0.0019	0.0002	0.0002
98.9732	0.8883	0.0258	0.0211	0.0011	0.0029	0.0001	0.0002
99.3732	0.7623	0.0138	0.0211	0.0021	0.0033	0.0001	0.0004
